Date_dt,Province,No_Deaths
2020-01-22,Alberta,0
2020-01-22,British Columbia,0
2020-01-22,Manitoba,0
2020-01-22,New Brunswick,0
2020-01-22,Newfoundland and Labrador,0
2020-01-22,Northwest Territories,0
2020-01-22,Nova Scotia,0
2020-01-22,Nunavut,0
2020-01-22,Ontario,0
2020-01-22,Prince Edward Island,0
2020-01-22,Quebec,0
2020-01-22,Saskatchewan,0
2020-01-22,Yukon,0
2020-01-23,Alberta,0
2020-01-23,British Columbia,0
2020-01-23,Manitoba,0
2020-01-23,New Brunswick,0
2020-01-23,Newfoundland and Labrador,0
2020-01-23,Northwest Territories,0
2020-01-23,Nova Scotia,0
2020-01-23,Nunavut,0
2020-01-23,Ontario,0
2020-01-23,Prince Edward Island,0
2020-01-23,Quebec,0
2020-01-23,Saskatchewan,0
2020-01-23,Yukon,0
2020-01-24,Alberta,0
2020-01-24,British Columbia,0
2020-01-24,Manitoba,0
2020-01-24,New Brunswick,0
2020-01-24,Newfoundland and Labrador,0
2020-01-24,Northwest Territories,0
2020-01-24,Nova Scotia,0
2020-01-24,Nunavut,0
2020-01-24,Ontario,0
2020-01-24,Prince Edward Island,0
2020-01-24,Quebec,0
2020-01-24,Saskatchewan,0
2020-01-24,Yukon,0
2020-01-25,Alberta,0
2020-01-25,British Columbia,0
2020-01-25,Manitoba,0
2020-01-25,New Brunswick,0
2020-01-25,Newfoundland and Labrador,0
2020-01-25,Northwest Territories,0
2020-01-25,Nova Scotia,0
2020-01-25,Nunavut,0
2020-01-25,Ontario,0
2020-01-25,Prince Edward Island,0
2020-01-25,Quebec,0
2020-01-25,Saskatchewan,0
2020-01-25,Yukon,0
2020-01-26,Alberta,0
2020-01-26,British Columbia,0
2020-01-26,Manitoba,0
2020-01-26,New Brunswick,0
2020-01-26,Newfoundland and Labrador,0
2020-01-26,Northwest Territories,0
2020-01-26,Nova Scotia,0
2020-01-26,Nunavut,0
2020-01-26,Ontario,0
2020-01-26,Prince Edward Island,0
2020-01-26,Quebec,0
2020-01-26,Saskatchewan,0
2020-01-26,Yukon,0
2020-01-27,Alberta,0
2020-01-27,British Columbia,0
2020-01-27,Manitoba,0
2020-01-27,New Brunswick,0
2020-01-27,Newfoundland and Labrador,0
2020-01-27,Northwest Territories,0
2020-01-27,Nova Scotia,0
2020-01-27,Nunavut,0
2020-01-27,Ontario,0
2020-01-27,Prince Edward Island,0
2020-01-27,Quebec,0
2020-01-27,Saskatchewan,0
2020-01-27,Yukon,0
2020-01-28,Alberta,0
2020-01-28,British Columbia,0
2020-01-28,Manitoba,0
2020-01-28,New Brunswick,0
2020-01-28,Newfoundland and Labrador,0
2020-01-28,Northwest Territories,0
2020-01-28,Nova Scotia,0
2020-01-28,Nunavut,0
2020-01-28,Ontario,0
2020-01-28,Prince Edward Island,0
2020-01-28,Quebec,0
2020-01-28,Saskatchewan,0
2020-01-28,Yukon,0
2020-01-29,Alberta,0
2020-01-29,British Columbia,0
2020-01-29,Manitoba,0
2020-01-29,New Brunswick,0
